,separate into parts,divide into groups or categories,mark the boundary,isolate constituent parts,to separate or part company,to give a part of something to someone,to give part of something to someone else,to give part of something to someone,to separate or part something into portions and give out,to share or portion out something,to separate or part things,to separate or part something,to separate or part something into portions,to distribute or allocate portions,to share something with someone,to separate or part something in a non-physical manner
Russian: delit',X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Russian: delit'sya,.,.,.,.,.,.,.,.,.,X,.,.,.,.,X,X
Russian: razbivat',.,X,X,X,.,.,.,.,.,.,.,.,.,X,.,.
Russian: razluchat',.,.,.,.,X,.,.,.,.,X,X,X,X,.,.,X
English: divide,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
English: share,.,.,.,.,.,X,X,X,X,X,.,.,.,.,X,X
English: split,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
English: separate,.,X,X,X,X,.,.,.,.,.,.,.,.,.,.,X
