,separate into parts,divide into groups or categories,mark the boundary,isolate constituent parts,to separate or part company,to shatter or break into pieces,to distribute or give out in portions,to give part of something to someone,to give or receive a part of something,to separate or part something into pieces,to break or shatter something into pieces,to distribute or allocate something
Russian: delit',X,X,X,X,X,X,X,X,X,X,X,X
Russian: delit'sya,.,.,.,.,.,.,.,.,.,.,.,.
Russian: razbivat',.,X,X,X,.,X,X,X,X,X,X,X
Russian: razluchat',.,.,.,.,.,.,.,.,.,X,X,X
English: divide,X,X,X,X,X,X,X,X,X,X,X,X
English: share,.,.,.,.,.,.,X,X,X,.,.,.
English: split,X,X,X,X,X,X,X,X,X,X,X,X
English: separate,.,X,X,X,X,.,.,.,.,.,.,.
