,separate into parts,divide into groups or categories,mark the boundary,isolate constituent parts,to distribute or allot something,to move or cause to move from a normal or proper position,to give a part of something to somebody,to distribute or apportion something,to cut something or typically with a sharp blade,to break or shatter something into pieces,to differentiate or distinguish,to open or spread apart,to disunite or disconnect
Russian: delit',X,X,X,X,X,X,X,X,X,X,X,X,X
Russian: delit'sya,.,.,.,.,.,.,.,.,.,.,.,.,.
Russian: razbivat',.,X,X,X,.,.,.,.,.,.,.,.,.
Russian: razluchat',.,.,.,.,.,.,.,.,.,X,X,X,X
English: divide,X,X,X,X,X,X,X,X,X,X,X,X,X
English: share,.,.,.,.,X,X,X,X,X,.,.,.,.
English: split,X,X,X,X,X,X,X,X,X,X,X,X,X
English: separate,.,X,X,X,X,.,.,.,.,.,.,.,.
